ID,Form_ID,Cognateset_ID,Segment_Slice,Alignment,Source
c-dance-form-324,form-324,c-dance,1,m a - - - -,
c-dance-form-325,form-325,c-dance,1,m a n - - -,
c-dance-form-328,form-328,c-dance,1,m a n u m -,
c-dance-form-329,form-329,c-dance,1,m a n u m ɨ,
c-fat-form-47,form-47,c-fat,1,k a t ɨ,
c-fat-form-64,form-64,c-fat,1,k a t ɨ,
c-fat-form-92,form-92,c-fat,1,k a t ɨ,
c-fat-form-217,form-217,c-fat,1,k a - -,
c-fat-form-231,form-231,c-fat,1,k a t -,
c-fat-way-fat,way-fat,c-fat,1,k a - -,
c-father-form-14,form-14,c-father,1,- u - m -,
c-father-form-34,form-34,c-father,1,- ũ e - -,
c-father-form-48,form-48,c-father,1,j u - m ɨ,
c-father-form-65,form-65,c-father,1,- u - m u,
c-father-form-93,form-93,c-father,1,- ɨ - m -,
c-father-form-145,form-145,c-father,1,- u - ŋ -,
c-father-form-218,form-218,c-father,1,- ɨ - m -,
c-give-1-form-336,form-336,c-give-1,1,- - u,
c-give-1-form-338,form-338,c-give-1,1,u t u,
c-give-2-form-333,form-333,c-give-2,1,ɨ m -,
c-give-2-form-334,form-334,c-give-2,1,ɨ m -,
c-give-2-form-337,form-337,c-give-2,1,ɨ m ɨ,
c-leaf-form-36,form-36,c-leaf,1,- a - -,
c-leaf-form-37,form-37,c-leaf,1,s a r ɨ,
c-leaf-form-51,form-51,c-leaf,1,j a r e,
c-leaf-form-96,form-96,c-leaf,1,- a - -,
c-leaf-form-219,form-219,c-leaf,1,- a - -,
c-leaf-form-220,form-220,c-leaf,1,j aa - -,
c-leaf-form-272,form-272,c-leaf,1,- a r ɨ,
c-mountain-form-289,form-289,c-mountain,1,- ɨ h ɨ,
c-mountain-form-290,form-290,c-mountain,1,- ɨ p ɨ,
c-mountain-form-291,form-291,c-mountain,1,- ɨ w ɨ,
c-mountain-form-292,form-292,c-mountain,1,- - - uu,
c-mountain-form-293,form-293,c-mountain,1,- ɨ p ɨ,
c-mountain-form-294,form-294,c-mountain,1,w ɨɨ p ɨ,
c-mountain-form-295,form-295,c-mountain,1,w ɨ p ɨ,
c-payment-form-306,form-306,c-payment,1,e ɸ e,
c-payment-form-307,form-307,c-payment,1,e p e,
c-payment-form-308,form-308,c-payment,1,e h e,
c-payment-form-309,form-309,c-payment,1,e h e,
c-payment-form-310,form-310,c-payment,1,e h e,
c-payment-form-311,form-311,c-payment,1,- - e,
c-payment-form-312,form-312,c-payment,1,e p e,
c-poison-form-385,form-385,c-poison,1,t͡ʃ e m e,
c-poison-form-387,form-387,c-poison,2,t i m -,
c-poison-form-388,form-388,c-poison,1,t ɨ m ɨ,
c-poison-form-389,form-389,c-poison,1,t i n -,
c-poison-form-390,form-390,c-poison,1,t u m -,
c-poison-form-391,form-391,c-poison,1,t ɨ m ɨ,
c-poison-form-392,form-392,c-poison,1,t ɨ m ə,
c-poison-form-393,form-393,c-poison,1,t͡ʃ i m -,
c-say-form-378,form-378,c-say,1,k a - -,
c-say-form-379,form-379,c-say,1,k a - -,
c-say-form-380,form-380,c-say,1,k a - -,
c-say-form-381,form-381,c-say,1,k e - -,
c-say-form-382,form-382,c-say,1,k a t i,
c-son-form-299,form-299,c-son,2,m e - -,
c-son-form-449,form-449,c-son,1,m u r e,
c-son-form-450,form-450,c-son,1,m ɨ r e,
c-son-form-451,form-451,c-son,1,m u r e,
c-son-form-452,form-452,c-son,1,m u r e,
c-son-form-453,form-453,c-son,2,m e - -,
c-take-form-316,form-316,c-take,1,a r ɨ,
c-take-form-317,form-317,c-take,1,- - a,
c-take-form-318,form-318,c-take,1,a l ɨ,
c-take-form-319,form-319,c-take,1,a r o,
c-take-form-320,form-320,c-take,1,- - a,
c-take-form-321,form-321,c-take,1,a r ə,
c-wake-form-349,form-349,c-wake,1,ɸ a k a,
c-wake-form-350,form-350,c-wake,1,p a k a,
c-wake-form-351,form-351,c-wake,1,h a k a,
c-wake-form-352,form-352,c-wake,1,p a k a,
c-wall-form-326,form-326,c-wall,1,m a m -,
c-wall-form-327,form-327,c-wall,1,m a m u,
c-wall-form-330,form-330,c-wall,1,m a m u,
pc-corn-form-2,form-2,pc-corn,1,- - a ʔ - n a - i ʔ,
pc-corn-form-40,form-40,pc-corn,1,- - - - a n a d͡ʒ i -,
pc-corn-form-90,form-90,pc-corn,1,- n a s ɨ n a s ɨ -,
pc-corn-form-99,form-99,pc-corn,1,a - - - - n a t - -,
pc-corn-form-108,form-108,pc-corn,1,- - o ʔ - n a s ɨ -,
pc-corn-form-109,form-109,pc-corn,1,a - - - - n a - - -,
pc-corn-form-112,form-112,pc-corn,1,- - a ʔ - n a - i -,
pc-corn-form-116,form-116,pc-corn,1,ə n - - - ɲ a - - -,
pc-corn-form-137,form-137,pc-corn,1,o - - - - n a t - -,
pc-corn-form-144,form-144,pc-corn,1,- - a ʔ - n a - i -,
pc-corn-form-161,form-161,pc-corn,1,aa - - - - n a - i -,
pc-corn-form-216,form-216,pc-corn,1,- n a s ɨ n a s ɨ -,
pc-corn-form-230,form-230,pc-corn,1,- - e h - n a - i -,
t-earth-form-285,form-285,t-earth,1,ɨ β ɨ,
t-earth-form-286,form-286,t-earth,1,ɨ β ɨ,
t-earth-form-287,form-287,t-earth,1,ɨ β ɨ,
t-earth-form-288,form-288,t-earth,1,i p i,
t-fat-form-117,form-117,t-fat,1,ʃ e p,
t-fat-form-162,form-162,t-fat,1,ʔ a p,
t-fat-form-178,form-178,t-fat,1,k a β,
t-fat-form-447,form-447,t-fat,1,k a p,
t-father-form-179,form-179,t-father,1,- u β,
t-father-form-269,form-269,t-father,1,- o p,
t-father-form-270,form-270,t-father,1,- u p,
t-father-form-424,form-424,t-father,1,- u p,
t-father-form-425,form-425,t-father,1,s u p,
t-give-form-331,form-331,t-give,1,o m,
t-give-form-332,form-332,t-give,1,ɨ̃ m,
t-leaf-form-118,form-118,t-leaf,1,ɨ p,
t-leaf-form-165,form-165,t-leaf,1,e p,
t-leaf-form-187,form-187,t-leaf,1,o β,
t-leaf-form-448,form-448,t-leaf,1,o p,
t-payment-form-304,form-304,t-payment,1,e p - ɨ,
t-payment-form-305,form-305,t-payment,1,e p e i,
t-poison-form-383,form-383,t-poison,1,t i - ŋ,
t-poison-form-384,form-384,t-poison,1,n i - ŋ,
t-poison-form-446,form-446,t-poison,1,t ĩ ĩ k,
t-say-1-form-374,form-374,t-say-1,1,ʔ e,
t-say-1-form-377,form-377,t-say-1,1,ʔ e,
t-say-2-form-375,form-375,t-say-2,1,k e,
t-say-2-form-376,form-376,t-say-2,1,k a,
t-small-form-297,form-297,t-small,1,m i r ĩ,
t-small-form-303,form-303,t-small,1,m i r ĩ,
t-take-form-313,form-313,t-take,1,j a r,
t-take-form-314,form-314,t-take,1,- a t,
t-take-form-315,form-315,t-take,1,d͡ʒ a t,
t-wake-form-347,form-347,t-wake,1,p a k,
t-wake-form-348,form-348,t-wake,2,p a k,
t-wake-form-353,form-353,t-wake,1,p a k,
tg-cockroach-form-1,form-1,tg-cockroach,1,m a s a r a w e -,
tg-cockroach-form-61,form-61,tg-cockroach,1,- - - a l a w i -,
tg-cockroach-form-62,form-62,tg-cockroach,1,- - - a r a w e -,
tg-cockroach-form-102,form-102,tg-cockroach,1,- - - e l e w e -,
tg-cockroach-form-111,form-111,tg-cockroach,1,m a s a r u w a -,
tg-cockroach-form-122,form-122,tg-cockroach,1,- - - a r a w e -,
tg-cockroach-form-141,form-141,tg-cockroach,1,- - - a r a - u t,
tg-cockroach-form-142,form-142,tg-cockroach,1,- - - a r a w e -,
tg-cockroach-form-143,form-143,tg-cockroach,1,- a s a r - w a -,
tg-cockroach-form-160,form-160,tg-cockroach,1,- - - a r a w e -,
tg-cockroach-form-176,form-176,tg-cockroach,1,- - - a r a β e -,
tg-cockroach-form-229,form-229,tg-cockroach,1,- - - a r a w e -,
tg-cockroach-form-258,form-258,tg-cockroach,1,- - - a l a w ɛ -,
tg-corn-form-63,form-63,tg-corn,1,a w a s i,
tg-corn-form-103,form-103,tg-corn,1,a w a ʃ i,
tg-corn-form-177,form-177,tg-corn,1,a β a t i,
tg-corn-form-259,form-259,tg-corn,1,- f a t -,
c-heel-pc-heel,pc-heel,c-heel,1,p ɨ t a,
c-heel-form-278,form-278,c-heel,2,h - t a,
c-heel-form-279,form-279,c-heel,2,h - t a,
c-heel-form-280,form-280,c-heel,1,h - t a,
c-heel-form-281,form-281,c-heel,1,p ɨ t a,
c-heel-form-282,form-282,c-heel,1,p - t a,
c-heel-form-283,form-283,c-heel,1,p - t a,
c-heel-form-284,form-284,c-heel,2,- - t a,
t-heel-form-273,form-273,t-heel,1,p ɨ t a - -,
t-heel-ptg-heel,ptg-heel,t-heel,1,p ɨ t a - -,
t-heel-maw-heel,maw-heel,t-heel,1,p ɨ - a - -,
t-heel-awe-heel,awe-heel,t-heel,2,p ɨ t a - -,
t-heel-form-428,form-428,t-heel,2,j - d a � -,
t-heel-form-429,form-429,t-heel,1,p i - a t͡ʃ a,
c-die-2-form-342,form-342,c-die-2,1,- w a - - h -,
c-die-2-form-344,form-344,c-die-2,1,- w a j i ɸ ɨ,
c-die-2-form-441,form-441,c-die-2,1,- w a j i ɸ ɨ,
c-die-2-form-442,form-442,c-die-2,1,- w a j e h ɨ,
c-die-2-form-443,form-443,c-die-2,1,a w a j i h ɨ,
t-end-form-339,form-339,t-end,1,p a β,
t-end-form-340,form-340,t-end,1,p a p,
t-end-form-345,form-345,t-end,1,p a β,
t-end-form-346,form-346,t-end,1,p a p,
c-jump-form-357,form-357,c-jump,1,a h - r o - -,
c-jump-form-358,form-358,c-jump,1,a p u r u m ɨ,
c-jump-form-359,form-359,c-jump,1,a h - p ə m ɨ,
c-jump-form-360,form-360,c-jump,1,a p ɨ r u m ɨ,
c-jump-form-361,form-361,c-jump,1,a p o r o m ɨ,
c-jump-form-362,form-362,c-jump,1,a h o n ɨ m ɨ,
c-jump-form-363,form-363,c-jump,1,a h a n ɨ m ɨ,
c-jump-form-364,form-364,c-jump,1,a - - l u m -,
c-jump-form-365,form-365,c-jump,1,a p u r u m ɨ,
t-jump-form-354,form-354,t-jump,1,p o r,
t-jump-form-355,form-355,t-jump,1,p o t,
t-jump-form-356,form-356,t-jump,2,p o t,
t-jump-form-366,form-366,t-jump,1,p o r,
c-go-form-371,form-371,c-go,1,- t - - o,
c-go-form-372,form-372,c-go,1,- t - - o,
c-go-form-373,form-373,c-go,1,- d - - ə,
c-go-form-444,form-444,c-go,1,ɨ t ə m ə,
t-go-form-367,form-367,t-go,1,s o,
t-go-form-368,form-368,t-go,1,t͡ʃ ɨ,
t-go-form-369,form-369,t-go,1,t o,
t-go-form-370,form-370,t-go,1,t o,
t-go-form-445,form-445,t-go,1,t͡s o,
t-foot-form-430,form-430,t-foot,1,- - i,
