ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
waya1269,Wayana,,2.77537,-54.4429,waya1269,way
arec1238,Arecuna,,,,arec1238,
tupa1250,Tuparí,,-11.8884,-62.2544,tupa1250,tpr
mawe1252,Maweti-Guarani,,,,mawe1252,
hixk1239,Hixkaryána,,-0.16265,-58.80153,hixk1239,hix
waiw1244,Waiwai,,1.50881,-59.1417,waiw1244,waw
maqu1238,Ye'kwana,,4.70705,-64.3877,maqu1238,mch
mund1330,Mundurukú,,-8.41095,-57.691,mund1330,myu
tupi1276,Tupi-Guarani,,,,tupi1276,
waiw1245,Waiwaian,,,,waiw1245,
awet1244,Awetí,,-12.381944,-53.391944,awet1244,awe
tara1324,Taranoan,,,,tara1324,
gali1262,Galibi Carib,,5.83772,-56.8323,gali1262,car
macu1259,Macushi,,4.31861,-60.2209,macu1259,mbc
taul1252,Taurepang-Arekuna,,,,taul1252,
pemo1248,Pemon,,4.97031,-61.4033,pemo1248,aoc
apal1257,Apalaí,,1.49792,-54.7457,apal1257,apy
baka1277,Bakairí,,-14.2628,-54.7034,baka1277,bkq
cari1283,Cariban,,,,cari1283,
mapo1246,Mapoyo,,5.96952,-67.2581,mapo1246,mcg
isla1278,Island Carib,,15.364795,-61.342957,isla1278,crb
wayu1242,Wayumara,,3.133111,-61.210785,wayu1242,
ikpe1245,Ikpeng,,-11.37822,-53.49553,ikpe1245,txi
tama1338,Tamanaku,,2.765,-65.883,tama1338,tmz
para1310,Pará Arára,,-3.71263,-53.0657,para1310,aap
waya1270,Wayampi,,1.73817,-52.6887,waya1270,oym
paru1239,Parukotoan,,,,paru1239,
enap1235,Panare,,6.95035,-65.8483,enap1235,pbh
kuik1246,Kuikúro-Kalapálo,,-12.3035,-53.2261,kuik1246,kui
tupi1273,Tupinambá,,-22.807778,-42.106389,tupi1273,tpn
yukp1241,Yukpa,,9.67534,-73.0557,yukp1241,yup
nhen1239,Nhengatu,,1.04503,-66.9646,nhen1239,yrl
trio1238,Trió,,2.53616,-55.7599,trio1238,tri
inga1250,Ingariko,,,,inga1250,
cari1279,Carijona,,1.21894,-72.0664,cari1279,cbd
waim1253,Waimiri-Atroari,,-0.61832,-60.4259,waim1253,atr
yaba1248,Yabarana,,5.32692,-66.276,yaba1248,yar
kaxu1237,Kaxuiâna,,2.17138,-55.9101,kaxu1237,kbb
sate1243,Sateré-Mawé,,-3.63897,-56.8749,sate1243,mav
akaw1239,Akawaio-Ingariko,,6.16277,-60.862,akaw1239,ake
